"ЛИГА ЦИФРОВОЙ ЭКОНОМИКИ, АССОЦИАЦИЯ",9715308343,1177700019210,20034107
"ТИНЬКОФФ БАНК, АО",7710140679,1027739642281,29290881,044525974
"ТИНЬКОФФ СТРАХОВАНИЕ, АО",7704082517,1027739031540,17510716,
"ЧАСТНЫЕ ПИВОВАРНИ ТИНЬКОФФ, ООО",7825422951,1027809196491,48004823,
"ТИНЬКОФФ МОБАЙЛ, ООО",7743200179,1177746287498,11624590,
"ТИНЬКОФФ КАПИТАЛ, ООО",7743304530,1197746380138,40143962,
"ТИНЬКОФФ ЦЕНТР РАЗРАБОТКИ, ООО",7743180892,5167746308549,05502953,
"ТИНЬКОФФ ИНВЕСТ ЛАБ, ООО",7743330386,1207700043198,43318391,
"ТИНЬКОФФ ОБРАЗОВАНИЕ, АНО ДО",7743270426,1187700013786,32539930,
"ТИНЬКОФФ-МАСТЕР, ООО ИСК",5623031207,1205600013387,46556820,
"ПИВОВАР-ТОЛЬЯТТИ, ООО",6320000755,1036301001626,11010390,
"ТИНЬКОФФ ОНЛАЙН-СТРАХОВАНИЕ-ЖИЗНЬ, ООО",7734693802,1137746030696,17011580,
"ТИНЬКОФФ И КО, ООО",7825400669,1037843037000,48005538,
"ТИНЬКОФФ, ООО",7725132536,1027700167791,55241630,
"ТИНЬКОФФ-ИНВЕСТ, ООО",7826159862,1037851018523,59512221,
"ТИНЬКОФФ-НОВОСИБИРСК, ООО",5407241337,1025403210447,58772859,
"ТИНЬКОФФ-СЕРВИС, ООО",7704250056,1027704015910,59788747,
"ТИНЬКОФФ-САМАРА, ООО",6316078734,1026301161039,59652927,
"ТИНЬКОФФ-СОЧИ, ООО",2320113007,1032311684162,,
"ТИНЬКОФФ-НИЖНИЙ НОВГОРОД, ООО",5262113931,1035205758939,14328267,
"ТИНЬКОФФ-МЕНЕДЖМЕНТ, ООО",7704248843,1027704014755,59776871,
"ТИНЬКОФФ-ТУР, ООО",4220035736,1074220003098,82741269,
"ТИНЬКОФФ ОНЛАЙН-СТРАХОВАНИЕ, ООО",7734693810,1137746030707,17061684,
"ТИНЬКОФФ-ЕКАТЕРИНБУРГ, ООО",6673098199,1036604798361,,
"ТИНЬКОФФ-ПЕТЕРБУРГ, ООО",7816196150,1037835030408,58282210,
"ТИНЬКОФФ-УФА, ООО",0278092090,1030204594980,31234619,
"ТИНЬКОФФ АРТ, ООО",7706593997,1057748427560,78967967,
"СРАВНИ.РУ, ООО",7710718303,1087746642774,86440949,
"МОДЕРНИЗАЦИЯ, ООО",7820036720,1027809001770,56258667,
"ЧЕРЧИЛЛЬ-САРАТОВ, ООО",6454094811,1096454003810,89361647,
"КЛАУДПЭЙМЕНТС, ООО",7708806062,1147746077159,27537834,
"ФЕНИКС, ООО",7713793524,1147746920144,16676122,
"НИИТАВТОПРОМ, АО",7725048958,1027700181717,00234732,
АРФГ,7708349874,1197700006833,39431472,
"СРАВНИ.РУ ЛАБС, ООО",9731038662,1197746285021,39285740,
АССОЦИАЦИЯ БОЛЬШИХ ДАННЫХ,7707421454,1187700018175,33524818,
"БАШИНВЕСТБАНК, ЗАО",0278991410,1120200003263,27303208,048073866
"ФЕНИКС, ООО",7716657713,1107746056340,64587706,
РААКС,7708086061,1027739688900,45002522,
"ОНЛАЙН ИПОТЕКА, ООО",7743248741,1187746330386,28013406,
"ПАРТНЕР, ООО",7710278500,1027700190396,48540680,
"ФРС-Н, ООО",7704798491,5117746056555,38240942,
"ГАЛАБ РИСЕРЧ, ООО",7704260600,1037704019737,14222543,
"СОЦИАЛЬНЫЕ ИНВЕСТИЦИИ, ООО",7714630297,1057749522280,79425688,
"СЕРВИС-Т, ООО",7704263312,1037704026183,14284834,
"ЦЕНТРАЛЬНЫЙ ВВЦ, ПАВИЛЬОН",,,,
"МУЛТИМЕДИА, ООО",7826162103,1037851032834,59528185,
"ТИНЬКОФФ БАНК, АО",7710140679,1027739642281,29290881,044525974
БАНК ВТБ (ПАО),7702070139,1027739609391,00032520,044525187
